head,variable,n,mantel_r,mantel_p,permanova_f,permanova_p
clip_l,school,441,0.027335651714385217,0.0005,3.150350756480759,0.0001
clip_l,gender,439,0.01238937177421039,0.1027,6.505143564898934,0.0001
clip_l,nationality,233,-0.08663198563742686,0.1052,0.7953035791454153,0.8163
clip_l,professor,419,0.026586128935720654,0.0001,2.3223146419646024,0.0001
clip_b32,school,441,0.024636166392663916,0.0021,2.847996602054538,0.0001
clip_b32,gender,439,0.010651262775970692,0.1608,6.34547623657331,0.0001
clip_b32,nationality,233,-0.08976510409953364,0.0929,0.7433518418030489,0.8736
clip_b32,professor,419,0.022139977503146682,0.0001,2.171755274570582,0.0001
openclip_l,school,441,0.03315624577857834,0.0001,3.038542179795786,0.0001
openclip_l,gender,439,0.01576206141961981,0.0317,6.151606426822061,0.0001
openclip_l,nationality,233,-0.10268470756032683,0.0513,0.7527445798760601,0.9265
openclip_l,professor,419,0.027631801598053785,0.0001,2.3010190375016104,0.0001
dinov2_cls,school,441,0.029353849145183478,0.0006,2.501474622824527,0.0001
dinov2_cls,gender,439,0.011169692991843873,0.1274,5.129148102307549,0.0001
dinov2_cls,nationality,233,-0.11060548597135211,0.0293,0.7098872506329452,0.9783
dinov2_cls,professor,419,0.020535683912047305,0.0001,2.0308612269622723,0.0001
dinov2_l12,school,441,0.022893384868621067,0.0018,2.646553008386695,0.0001
dinov2_l12,gender,439,0.01080009499681513,0.1076,7.258673879922902,0.0018
dinov2_l12,nationality,233,-0.09193625995178208,0.0446,0.8116243527794131,0.7371
dinov2_l12,professor,419,0.02255559098504877,0.0001,1.8290948541516534,0.0003
dinov2_style,school,441,0.02435978632947602,0.0007,2.7830291151927327,0.0001
dinov2_style,gender,439,0.013586367496157176,0.037,8.285608979009286,0.0008
dinov2_style,nationality,233,-0.08897890389453077,0.0418,0.806243462474005,0.7805
dinov2_style,professor,419,0.02552335816028939,0.0001,1.9439681060507312,0.0002
dinov2_gram,school,441,0.009578230366111669,0.1913,2.0976470967206584,0.0232
dinov2_gram,gender,439,0.009985855919787488,0.1383,9.01671787556523,0.0049
dinov2_gram,nationality,233,-0.07868961759522639,0.0979,1.0492175839047853,0.3877
dinov2_gram,professor,419,0.014194373270188718,0.0014,1.7878030683264785,0.0107
csd_content,school,441,0.0273579920795333,0.0006,2.964744657857087,0.0001
csd_content,gender,439,0.012691788114081339,0.0676,4.872747456537966,0.0007
csd_content,nationality,233,-0.1390814338563709,0.0044,0.7595140763897427,0.9388
csd_content,professor,419,0.02991574034710059,0.0001,2.3424603561357458,0.0001
csd_style,school,441,0.0242764825152332,0.0001,2.8553006298635997,0.0001
csd_style,gender,439,0.015235401924330101,0.0165,5.062433943483743,0.0001
csd_style,nationality,233,-0.1119901194710644,0.0067,0.8795824808609328,0.8438
csd_style,professor,419,0.02914672070213241,0.0001,2.3106428629515263,0.0001
scflow_content,school,441,0.022652556583324823,0.0068,2.527457416301357,0.0001
scflow_content,gender,439,0.007316074944471346,0.3381,4.948352471581894,0.0001
scflow_content,nationality,233,-0.07615433605276511,0.1555,0.7826006074544923,0.8456
scflow_content,professor,419,0.01900326316068231,0.0003,1.8323946895978025,0.0001
scflow_style,school,441,0.015895450157674844,0.0546,2.436092214170316,0.0001
scflow_style,gender,439,0.01444796631441849,0.0548,5.211384069766141,0.0001
scflow_style,nationality,233,-0.10824104638841439,0.0417,0.6501908747017965,0.9453
scflow_style,professor,419,0.022040997626576807,0.0001,1.9921499277475747,0.0001
goya_content,school,441,0.000909790977519626,0.9062,1.4619151912514978,0.1457
goya_content,gender,439,-0.003966576902484584,0.58,0.7718903371045541,0.3776
goya_content,nationality,233,-0.08613743405943884,0.0812,0.6215470144700561,0.7729
goya_content,professor,419,0.002235600748148594,0.6369,1.1805177844040349,0.2471
goya_style,school,441,0.026342087371092556,0.0006,3.3317094454400107,0.0001
goya_style,gender,439,0.02301811927372193,0.0017,5.252255976333099,0.001
goya_style,nationality,233,-0.12071773889604198,0.0112,0.7344422828552859,0.8963
goya_style,professor,419,0.03311502309284804,0.0001,2.6877899061477497,0.0001
kim_c,school,441,0.036336608384729095,0.0001,3.029486702458814,0.0001
kim_c,gender,439,0.01677996664331531,0.0196,5.752484796266848,0.0001
kim_c,nationality,233,-0.1049152256454926,0.038,0.7947605369111571,0.9103
kim_c,professor,419,0.03173942367044709,0.0001,2.3321266134102805,0.0001
kim_a,school,441,0.0013320802523177095,0.8373,1.961616509255214,0.0037
kim_a,gender,439,0.01928948555217398,0.0062,3.785265488648513,0.0274
kim_a,nationality,233,-0.014883876421637377,0.6701,1.0595460780433765,0.361
kim_a,professor,419,0.003668855589132376,0.3692,1.5152186012416702,0.0034
sscd,school,441,0.03802166838253305,0.0001,1.7151187786844158,0.0001
sscd,gender,439,0.025787150803831503,0.0005,3.3493548504234876,0.0001
sscd,nationality,233,-0.13791649304340262,0.0018,0.9757705900402722,0.6735
sscd,professor,419,0.026449714242785326,0.0001,1.4119141626240985,0.0001
